X,Y,Z
359196,2012576,110.000006925843
359246,2012576,110.000006925843
359296,2012576,110.000076993863
359346,2012576,109.999996059195
359396,2012576,110.000069013666
359446,2012576,109.999986801109
359496,2012576,109.999973498147
359546,2012576,110.000031762811
359596,2012576,110.00008391116
359646,2012576,109.999955342162
359696,2012576,109.999979987944
359746,2012576,109.999981401284
359796,2012576,109.999956545325
359846,2012576,110.000030633244
359896,2012576,110.000018116254
359946,2012576,109.999967636144
359996,2012576,109.999957544096
360046,2012576,109.999957544096
360096,2012576,109.99996410689
360146,2012576,109.999964710907
360196,2012576,110.000009187381
360246,2012576,109.99997204759
360296,2012576,110.000035845402
360346,2012576,110.000057154226
360396,2012576,109.99988550882
360446,2012576,109.999994142291
360496,2012576,109.999950761219
360546,2012576,110.000004628085
360596,2012576,109.999952210834
