X,Y,Z
358196,2012576,109.999992084078
358246,2012576,109.999992084078
358296,2012576,109.999939818455
358346,2012576,109.999913690437
358396,2012576,109.999913690437
358446,2012576,109.999943331713
358496,2012576,109.999992650065
358546,2012576,110.000005825945
358596,2012576,109.999990617433
358646,2012576,110.000087685345
358696,2012576,109.999929644822
358746,2012576,109.999940378308
358796,2012576,109.999947594046
358846,2012576,110.000013085616
358896,2012576,109.999977708298
358946,2012576,109.99989049937
358996,2012576,110.000033461212
359046,2012576,110.000043356584
359096,2012576,110.000082969134
359146,2012576,109.999922426665
359196,2012576,110.000006925843
359246,2012576,110.000006925843
359296,2012576,110.000076993863
359346,2012576,109.999996059195
359396,2012576,110.000069013666
359446,2012576,109.999986801109
359496,2012576,109.999973498147
359546,2012576,110.000031762811
359596,2012576,110.00008391116
359646,2012576,109.999955342162
359696,2012576,109.999979987944
359746,2012576,109.999981401284
359796,2012576,109.999956545325
359846,2012576,110.000030633244
359896,2012576,110.000018116254
359946,2012576,109.999967636144
359996,2012576,109.999957544096
360046,2012576,109.999957544096
360096,2012576,109.99996410689
360146,2012576,109.999964710907
360196,2012576,110.000009187381
360246,2012576,109.99997204759
360296,2012576,110.000035845402
360346,2012576,110.000057154226
360396,2012576,109.99988550882
360446,2012576,109.999994142291
360496,2012576,109.999950761219
360546,2012576,110.000004628085
360596,2012576,109.999952210834
